97120.000,0.623,1.211,-0.949
97121.000,0.443,0.842,-0.769
97122.000,0.335,0.603,-0.546
97123.000,0.542,0.483,-0.620
97124.000,0.641,0.553,-0.769
97125.000,0.686,0.663,-1.054
97126.000,0.623,0.593,-1.213
97127.000,0.569,0.673,-1.234
97128.000,0.713,0.902,-1.097
97129.000,0.928,0.972,-0.970
97130.000,1.045,0.992,-0.959
97131.000,1.197,1.101,-0.811
97132.000,1.251,1.041,-0.790
97133.000,1.269,0.952,-0.769
97134.000,1.072,0.862,-0.790
97135.000,1.018,0.892,-0.885
97136.000,0.973,0.912,-0.959
97137.000,0.982,1.101,-1.001
97138.000,1.117,1.231,-1.118
97139.000,1.171,1.341,-1.266
97140.000,1.260,1.530,-1.478
97141.000,1.197,1.729,-1.510
97142.000,1.090,1.979,-1.467
97143.000,0.937,1.889,-1.351
97144.000,0.820,1.560,-1.510
97145.000,0.910,1.261,-1.700
97146.000,0.991,1.590,-1.478
97147.000,0.659,2.098,-0.970
97148.000,0.524,2.018,-0.546
97149.000,0.578,1.301,-0.260
97150.000,0.695,0.613,-0.218
97151.000,0.731,0.284,-0.250
97152.000,0.641,0.423,-0.324
97153.000,0.569,0.742,-0.271
97154.000,0.578,1.171,-0.345
97155.000,0.739,1.550,-0.504
97156.000,0.892,1.749,-0.800
97157.000,0.991,1.490,-1.044
97158.000,0.982,1.241,-1.139
97159.000,0.955,1.061,-0.980
97160.000,0.964,0.972,-0.811
97161.000,1.054,0.962,-0.642
97162.000,1.215,0.952,-0.398
97163.000,1.162,0.812,-0.377
97164.000,1.009,0.722,-0.514
97165.000,0.946,0.643,-0.493
97166.000,0.964,0.583,-0.462
97167.000,0.937,0.463,-0.440
97168.000,1.000,0.483,-0.398
97169.000,0.955,0.583,-0.218
97170.000,0.910,0.822,-0.207
97171.000,0.865,1.002,-0.207
97172.000,0.641,1.201,-0.080
97173.000,0.578,1.470,0.057
97174.000,0.757,1.580,0.174
97175.000,0.892,1.550,0.195
97176.000,1.108,1.500,-0.102
97177.000,1.413,1.420,-0.313
97178.000,1.539,1.520,-0.493
97179.000,1.620,1.510,-0.610
97180.000,1.548,1.450,-0.620
97181.000,1.413,1.301,-0.292
97182.000,1.242,1.311,-0.186
97183.000,1.036,1.211,-0.112
97184.000,1.018,1.181,-0.144
97185.000,1.135,1.121,-0.123
97186.000,1.063,1.121,-0.049
97187.000,1.099,1.201,0.131
97188.000,1.099,1.400,0.385
97189.000,1.108,1.470,0.470
97190.000,1.180,1.590,0.618
97191.000,1.251,1.650,0.597
97192.000,1.305,1.699,0.481
97193.000,1.296,1.719,0.269
97194.000,1.171,1.919,0.100
97195.000,1.009,2.078,-0.155
97196.000,1.000,2.128,-0.419
97197.000,0.892,1.909,-0.853
97198.000,0.677,1.530,-1.361
97199.000,0.425,1.181,-1.690
97200.000,0.344,0.942,-1.774
97201.000,0.371,0.673,-1.774
97202.000,0.452,0.443,-1.679
97203.000,0.416,0.234,-1.488
97204.000,0.497,0.443,-1.234
97205.000,0.820,0.603,-1.001
97206.000,1.045,0.932,-0.747
97207.000,1.251,1.221,-0.779
97208.000,1.440,1.231,-1.023
97209.000,1.350,0.892,-1.404
97210.000,1.224,0.742,-1.647
97211.000,1.215,0.493,-1.668
97212.000,1.108,0.443,-1.647
97213.000,0.991,0.553,-1.478
97214.000,0.695,0.852,-1.298
97215.000,0.704,1.211,-1.266
97216.000,0.982,1.480,-1.054
97217.000,1.440,1.311,-0.769
97218.000,1.485,0.852,-0.726
97219.000,1.377,0.503,-0.874
97220.000,1.117,0.573,-1.023
97221.000,0.964,0.742,-1.234
97222.000,1.072,1.002,-1.457
97223.000,1.009,0.982,-1.245
97224.000,1.224,1.141,-0.874
97225.000,1.395,1.261,-0.578
97226.000,1.575,1.191,-0.377
97227.000,1.440,1.131,-0.313
97228.000,1.512,0.982,-0.451
97229.000,1.386,0.952,-0.620
97230.000,1.171,0.842,-0.769
97231.000,1.036,0.922,-1.023
97232.000,1.018,1.081,-1.160
97233.000,1.224,1.221,-0.980
97234.000,1.422,1.390,-0.843
97235.000,1.494,1.311,-0.769
97236.000,1.467,1.251,-0.821
97237.000,1.314,1.101,-0.864
97238.000,1.224,1.071,-0.843
97239.000,1.135,0.992,-0.843
97240.000,1.242,0.822,-0.949
97241.000,1.278,0.852,-0.949
97242.000,1.305,0.922,-0.970
97243.000,1.269,0.972,-0.959
97244.000,1.242,1.002,-0.821
97245.000,1.224,0.992,-0.853
97246.000,1.135,1.012,-0.917
97247.000,1.162,1.032,-0.927
97248.000,1.162,0.972,-1.012
97249.000,1.206,0.962,-1.023
97250.000,1.215,0.992,-1.033
97251.000,1.197,1.032,-1.033
97252.000,1.206,1.012,-0.927
97253.000,1.206,0.962,-0.853
97254.000,1.215,0.922,-0.874
97255.000,1.180,0.892,-0.864
97256.000,1.180,1.022,-0.949
97257.000,1.215,1.041,-1.033
97258.000,1.224,1.051,-1.097
97259.000,1.215,1.081,-1.054
97260.000,1.224,1.032,-1.001
97261.000,1.126,1.022,-0.959
97262.000,1.188,1.012,-0.896
97263.000,1.242,1.002,-0.864
97264.000,1.206,1.041,-0.885
97265.000,1.215,1.002,-0.874
97266.000,1.180,1.012,-0.885
97267.000,1.233,1.022,-0.949
97268.000,1.188,1.071,-0.991
97269.000,1.269,1.051,-0.927
97270.000,1.242,1.002,-0.938
97271.000,1.251,0.972,-0.959
97272.000,1.171,0.992,-0.853
97273.000,1.144,1.041,-0.853
97274.000,1.153,1.041,-0.864
97275.000,1.197,1.051,-0.874
97276.000,1.206,1.051,-0.843
97277.000,1.197,1.041,-0.769
97278.000,1.162,1.041,-0.864
97279.000,1.171,0.982,-0.885
97280.000,1.171,1.012,-0.885
97281.000,1.242,1.051,-0.874
97282.000,1.206,1.022,-0.864
97283.000,1.108,1.002,-0.853
97284.000,1.126,0.972,-0.885
97285.000,1.162,1.012,-0.864
97286.000,1.197,0.972,-0.832
97287.000,1.180,1.032,-0.843
97288.000,1.144,1.022,-0.821
97289.000,1.108,1.041,-0.832
97290.000,1.180,1.071,-0.821
97291.000,1.144,1.071,-0.949
97292.000,1.171,1.091,-0.991
97293.000,1.126,1.051,-0.959
97294.000,1.090,1.022,-0.885
97295.000,1.108,1.081,-0.832
97296.000,1.108,1.081,-0.811
97297.000,1.108,1.131,-0.917
97298.000,1.117,1.041,-0.927
97299.000,1.153,1.041,-0.959
97300.000,1.054,1.091,-0.970
97301.000,1.117,1.032,-0.896
